"Carbon monoxide (CO): Average hourly values: CO, mg / m3 for the period from 01.01.2015 to 31.12.2019",,,,,,
Date,Hour,Sofia-EEA Pavlovo,Sofia - Kopitoto,Sofia - Mladost,Sofia - Orlov Most,Sofia -Hipodrome
1/1/2015,1:00,1.09,0.21,,1.34,0.87
1/1/2015,2:00,1.7,0.23,,1.84,1.43
1/1/2015,3:00,1.71,0.2,,1.74,1.84
1/1/2015,4:00,1.96,0.21,,2.16,1.75
1/1/2015,5:00,1.28,0.24,,1.16,1.72
1/1/2015,6:00,0.97,0.21,,1.34,1.23
1/1/2015,7:00,0.88,0.19,,1.24,1.03
1/1/2015,8:00,0.92,0.21,,1.13,1.11
1/1/2015,9:00,0.96,0.2,,1.18,1.04
1/1/2015,10:00,0.78,0.2,,1.11,0.94
1/1/2015,11:00,0.55,0.21,,1.01,0.95
1/1/2015,12:00,0.54,0.24,,0.97,0.89
1/1/2015,13:00,0.5,0.26,,0.91,0.83
1/1/2015,14:00,0.51,0.24,,0.96,0.83
1/1/2015,15:00,0.52,0.27,,0.96,0.87
1/1/2015,16:00,0.56,0.25,,0.99,0.91
1/1/2015,17:00,0.62,0.24,,1.03,0.93
1/1/2015,18:00,0.73,0.23,,1.09,1.03
1/1/2015,19:00,1.19,0.22,,1.12,1.17
1/1/2015,20:00,2.01,0.19,,1.13,1.24
1/1/2015,21:00,1.98,0.19,,1.16,1.22
1/1/2015,22:00,0.85,0.21,,1.21,1.16
1/1/2015,23:00,0.72,0.25,,1.17,1.13
1/1/2015,24:00:00,0.65,0.19,,1.16,1.15
1/2/2015,1:00,0.65,0.2,,1.13,1.1
1/2/2015,2:00,0.63,0.25,,1.1,1.01
1/2/2015,3:00,0.57,0.26,,1.08,0.93
1/2/2015,4:00,0.55,0.25,,1.05,0.93
1/2/2015,5:00,0.52,0.24,,1.05,0.88
1/2/2015,6:00,0.51,0.22,,1.05,0.88
1/2/2015,7:00,0.53,0.21,,1.05,0.88
1/2/2015,8:00,0.55,0.24,,1.06,0.92
1/2/2015,9:00,0.56,0.25,,1.08,0.94
1/2/2015,10:00,0.57,0.25,,1.09,0.99
1/2/2015,11:00,0.55,0.23,,1.07,0.92
1/2/2015,12:00,0.57,0.24,,1.06,0.89
1/2/2015,13:00,0.57,0.24,,1.06,0.89
1/2/2015,14:00,0.54,0.24,,1.01,0.87
1/2/2015,15:00,0.54,0.26,,1,0.88
1/2/2015,16:00,0.61,0.28,,1,0.9
1/2/2015,17:00,0.6,0.29,,1.01,0.89
1/2/2015,18:00,0.66,0.3,,1.06,0.98
1/2/2015,19:00,0.63,0.3,,1.08,1.03
1/2/2015,20:00,0.63,0.29,,1.11,0.93
1/2/2015,21:00,0.61,0.28,,1.1,0.93
1/2/2015,22:00,1.06,0.27,,1.3,1.09
1/2/2015,23:00,0.87,0.27,,1.63,1.09
1/2/2015,24:00:00,0.9,0.26,,2.01,1.38
1/3/2015,1:00,1.11,0.26,,1.88,1.52
1/3/2015,2:00,1.22,0.25,,1.8,1.35
1/3/2015,3:00,1.25,0.26,,1.77,1.3
1/3/2015,4:00,1.4,0.25,,1.83,1.42
1/3/2015,5:00,1.33,0.26,,1.6,1.56
1/3/2015,6:00,1.27,0.27,,1.68,1.2
1/3/2015,7:00,0.56,0.28,,1.63,0.94
1/3/2015,8:00,0.5,0.3,,2.07,0.89
1/3/2015,9:00,0.53,0.3,,1.77,0.96
1/3/2015,10:00,0.52,0.31,,0.9,0.89
1/3/2015,11:00,0.51,0.3,,0.88,0.87
1/3/2015,12:00,0.52,0.31,,0.88,0.84
1/3/2015,13:00,0.53,0.33,,0.91,0.82
1/3/2015,14:00,0.52,0.34,,0.91,0.89
1/3/2015,15:00,0.56,0.36,,0.84,0.92
1/3/2015,16:00,0.54,0.33,,0.85,0.85
1/3/2015,17:00,0.55,0.31,,0.92,0.95
1/3/2015,18:00,0.58,0.31,,1.23,0.97
1/3/2015,19:00,0.57,0.28,,1.5,1.1
1/3/2015,20:00,0.59,0.28,,1.68,1.05
1/3/2015,21:00,0.63,0.26,,1.49,1.22
1/3/2015,22:00,1.22,0.27,,1.8,1.3
1/3/2015,23:00,1.12,0.27,,2.2,1.61
1/3/2015,24:00:00,1.18,0.27,,2.1,1.77
1/4/2015,1:00,0.9,0.28,,2.27,1.54
1/4/2015,2:00,0.8,0.28,,3.22,1.44
1/4/2015,3:00,0.74,0.29,,2.24,1.48
1/4/2015,4:00,0.86,0.28,,2.2,1.24
1/4/2015,5:00,0.85,0.28,,1.76,1.35
1/4/2015,6:00,0.98,0.3,,1.64,1.75
1/4/2015,7:00,1.48,0.29,,1.68,1.9
1/4/2015,8:00,1.56,0.3,,1.98,1.93
1/4/2015,9:00,1.69,0.31,,2.06,2.01
1/4/2015,10:00,1.35,0.33,,1.76,1.68
1/4/2015,11:00,1.3,0.34,,2.01,1.59
1/4/2015,12:00,1.2,,,2.23,1.83
1/4/2015,13:00,0.59,,,0.92,0.96
1/4/2015,14:00,0.58,,,0.91,0.94
1/4/2015,15:00,0.56,,,0.86,0.86
1/4/2015,16:00,0.55,,,0.87,0.84
1/4/2015,17:00,0.56,,,0.85,0.87
1/4/2015,18:00,0.57,,,0.88,0.87
1/4/2015,19:00,0.56,,,0.85,0.84
1/4/2015,20:00,0.57,,,0.88,0.86
1/4/2015,21:00,0.6,,,0.85,0.85
1/4/2015,22:00,0.56,,,0.85,0.79
1/4/2015,23:00,0.57,,,0.87,0.85
