"Fine Dust Particles (FDP) a.k.a. suspended particulate matter (SPM) Average hourly values: PM10, ug / m3 for the period from 01.01.2015 to 31.12.2019",,,,,,,,,
Date,Time,Sofia-Druzhba,Sofia - EEA/Pavlovo,Sofia-Kopitoto,Sofia - Mladost,Sofia-Nadezhda,Sofia - Orlov Most,Sofia - Hipodrome,Gara Yana
1/1/2015,1:00,78.55,110.01,13.3,,95.53,49.33,31.79,77.30
1/1/2015,2:00,159.85,206.11,14.42,,64.11,100.33,94.59,91.20
1/1/2015,3:00,100.8,205.72,13.44,,21.53,63.58,98.81,47.60
1/1/2015,4:00,53.33,179.01,12.45,,11.17,70.5,89.95,29.40
1/1/2015,5:00,32.93,86.91,12.66,,14.32,21.47,70.26,31.30
1/1/2015,6:00,12.26,52.4,11.72,,23.13,48.15,41.72,30.60
1/1/2015,7:00,25.15,38.61,10.65,,24.29,25.8,27.05,89.30
1/1/2015,8:00,21.43,38.74,9.96,,15.71,24.22,29.43,107.40
1/1/2015,9:00,14.63,46.96,9.08,,19.09,37.05,27.6,70.60
1/1/2015,10:00,18.76,47.95,8.17,,18.56,28.59,27.66,36.80
1/1/2015,11:00,31.05,21.48,8.18,,40.74,22.34,37.58,32.70
1/1/2015,12:00,39.95,21.12,7.93,,63.69,19.23,34.07,33.80
1/1/2015,13:00,34.13,17.02,8.2,,55.86,16.96,26.68,73.60
1/1/2015,14:00,24.97,15.87,8.33,,36.35,25.35,27.71,114.90
1/1/2015,15:00,,19.72,8.7,,28.52,32.6,33.29,
1/1/2015,16:00,,26.61,9.12,,4.91,44.46,35.21,65.30
1/1/2015,17:00,17.94,39.7,9.18,,36.97,47.96,42,83.00
1/1/2015,18:00,57.34,54.92,9.11,,38.26,58.48,47.22,115.00
1/1/2015,19:00,51.76,118.3,8.97,,47.92,61.91,73.85,65.40
1/1/2015,20:00,51.02,196.37,7.98,,49.98,63.62,80.26,51.90
1/1/2015,21:00,54.12,196.16,7.26,,45.7,65.4,75.18,36.20
1/1/2015,22:00,59.62,60.7,7.05,,54.69,74.05,63.86,31.50
1/1/2015,23:00,60.81,47.62,8.28,,49.08,62.48,59.89,39.30
1/1/2015,24:00:00,54.67,42.63,7.09,,56.8,57.56,68.26,38.50
1/2/2015,1:00,,43.24,6.17,,51.34,51.7,59.29,55.40
1/2/2015,2:00,67.7,38.04,6.67,,45.16,46.47,47.69,61.10
1/2/2015,3:00,115.58,30.16,7.66,,47.29,42.54,37.38,
1/2/2015,4:00,121.93,26.34,7.76,,36.9,35.26,35.01,
1/2/2015,5:00,139.93,23.17,8.39,,36.66,33.58,30.7,
1/2/2015,6:00,108.35,22.29,7.97,,49.23,34.83,29.42,17.10
1/2/2015,7:00,92.94,22.26,7.56,,54.57,33.82,30.74,36.60
1/2/2015,8:00,106.02,24.02,7.29,,73.67,29.95,31.25,26.60
1/2/2015,9:00,98.06,25.79,8.26,,80.29,30.74,38.21,24.40
1/2/2015,10:00,102.79,26.52,8.59,,86.28,31.39,40.02,33.10
1/2/2015,11:00,134.17,23,8.21,,100.78,28.64,35.66,15.20
1/2/2015,12:00,,27.09,7.7,,73.3,28.27,31.9,
1/2/2015,13:00,,25.5,7.22,,56.02,31.73,34.06,
1/2/2015,14:00,40.89,21.97,7.37,,53.41,28.67,35.14,
1/2/2015,15:00,59.66,21.84,6.97,,36.54,28.5,34.85,
1/2/2015,16:00,54.07,29.62,7.48,,7.75,27.86,37.32,
1/2/2015,17:00,52.26,28.1,7.94,,38.74,29.04,30.57,
1/2/2015,18:00,39.6,34.28,8.27,,26.39,32.37,40.95,41.00
1/2/2015,19:00,36.15,34.43,7.85,,29.23,36.88,42.87,59.40
1/2/2015,20:00,34.66,30.25,7.7,,36.28,46.36,32.01,86.70
1/2/2015,21:00,42.61,25.03,8.25,,33.4,42.48,33.73,48.40
1/2/2015,22:00,57.53,81.68,8.63,,55.2,65.12,57.57,21.60
1/2/2015,23:00,121.56,53.14,6.81,,109.79,116.52,47.16,18.60
1/2/2015,24:00:00,117.38,71.43,6.56,,97.07,177.97,82.75,24.00
1/3/2015,1:00,,118.7,6.05,,81.41,118.03,98.55,47.20
1/3/2015,2:00,85.06,128.17,5.4,,81.04,111.94,85.38,56.30
1/3/2015,3:00,75.95,124.39,5.53,,76.33,105.06,81.95,64.10
1/3/2015,4:00,105.74,122.72,5.27,,78.84,98.24,86.09,47.70
1/3/2015,5:00,114.13,116.54,5.13,,79.64,81.93,87.8,73.30
