Date	Hour	Sofia - Druzhba	Sofia - EEA Pavlovo	Sofia - Kopitoto	Sofia - Mladost	Sofia - Nadezhda	Sofia-Orlov Most	Sofia - Hipodrome
1.01.15	1:00	30.66	39.73	Jan.45		18.75	34.82	18.83
1.01.15	2:00	27.Feb	53.75	Jan.75		15.Dec	45.55	34.33
1.01.15	3:00	27.49	49.35	Jan.55		Nov.15	45.54	54.43
1.01.15	4:00	29.55	56.91	Jan.62		11.May	47.88	52.89
1.01.15	5:00	13.May	48.33	Jan.48		20.87	29.Mar	47.85
1.01.15	6:00	17.54	34.18	Jan.35		17.34	33.17	32.34
1.01.15	7:00	28.15	41.14	Jan.44		19.97	32.36	26.99
1.01.15	8:00	22.68	44.23	Jan.42		17.82	22.44	35.58
1.01.15	9:00	23.15	44.22	Jan.47		16.Aug	18.Feb	26.62
1.01.15	10:00	Dec.62	29.78	1.Mar		Sep.19	13.84	13.32
1.01.15	11:00	Nov.22	11.Mar	Jan.46		8	Oct.72	Aug.75
1.01.15	12:00	Oct.17	8.Jun	Jan.49		Aug.97	Oct.76	Aug.33
1.01.15	13:00	10.May	Jun.78	Jan.47		9.Aug	Oct.31	Nov.67
1.01.15	14:00	Aug.73	Jun.76	Jan.66		13.72	13.26	Jul.49
1.01.15	15:00		Jul.45	Jan.48		14.74	Dec.14	Oct.21
1.01.15	16:00		Aug.76	Jan.43		13.95	14.Dec	9.Aug
1.01.15	17:00	16.Mar	Dec.74	Jan.46		16.59	17.May	Dec.88
1.01.15	18:00	18.53	20.89	Jan.59		19.98	18.86	19.93
1.01.15	19:00	20.59	45.69	Jan.47		21.Mar	18.29	23.86
1.01.15	20:00	17.49	67.66	Jan.27		20.Nov	17.Jan	24.Nov
1.01.15	21:00	14.17	59.67	1.May		18.62	16.52	23.64
1.01.15	22:00	14.Dec	17.99	Jan.46		17.Mar	16.72	22.52
1.01.15	23:00	Oct.53	Dec.38	Jan.49		14.Jun	14.14	17.37
1.01.15	24:00:00	Sep.19	12.Jul	Jan.23		13.Feb	13.49	15.38
1.02.15	1:00	7.Jul	Oct.95	Jan.62		Oct.81	Nov.72	Dec.51
1.02.15	2:00	18.Jun	Sep.22	Jan.46		Oct.69	Oct.42	Sep.67
1.02.15	3:00	19.May	7.Aug	Jan.68		Sep.38	Sep.65	7.Aug
1.02.15	4:00	20.74	7.Mar	Jan.55		9.Aug	9.Jun	May.79
1.02.15	5:00	19.Feb	6.Mar	1.Feb		Oct.48	9.Apr	Jul.17
1.02.15	6:00	20.29	Aug.35	1.May		15.57	Oct.52	7.Sep
1.02.15	7:00	29.85	8.Jul	Jan.19		24.92	Nov.41	Oct.88
1.02.15	8:00	30.64	14.27	Jan.48		38.63	13.Feb	Dec.83
1.02.15	9:00	31.69	13.76	Jan.46		47.88	16.Jul	15.35
1.02.15	10:00	30.Jan	13.65	Jan.48		44.33	16.93	16
1.02.15	11:00	31.18	Oct.54	Jan.66		33.76	15.34	14.41
1.02.15	12:00		Nov.91	Jan.44		25.81	15.83	13.84
1.02.15	13:00		Dec.36	Jan.25		21.63	17.46	16.77
1.02.15	14:00	14.44	Sep.48	Jan.75		16.77	16.Jan	14.Sep
1.02.15	15:00	14.97	Sep.55	Jan.28		17.43	16.86	13.37
1.02.15	16:00	17.45	13.76	Jan.43		17.43	19.54	14.99
1.02.15	17:00	21.45	13.71	1.Jun		23.Nov	20.76	15.Jun
1.02.15	18:00	22.19	21.Feb	Jan.33		22.51	21.82	22.59
1.02.15	19:00	26.46	17.22	Jan.23		23.Feb	23.Dec	30.Aug
1.02.15	20:00	22.Jul	16.46	Jan.49		22.42	22.Jan	19.Jan
1.02.15	21:00	20.Sep	13.83	Jan.59		29.29	23.Mar	17.65
1.02.15	22:00	34.16	40.13	Jan.43		37.85	34.53	21.25
1.02.15	23:00	33.02	27.95	Jan.43		51.65	39.66	28.52
1.02.15	24:00:00	26.52	26.75	Jan.78		31.61	36.72	35.64
1.03.15	1:00	23.86	41.38	Jan.64		37.21	41.95	40.57
1.03.15	2:00	25.35	44.82	Jan.41		41.95	41.49	27.33
1.03.15	3:00	31.19	45.89	Jan.31		40.21	40.07	24.28
1.03.15	4:00	38.44	49.1	Jan.46		39.8	38.91	39.22
1.03.15	5:00	35.69	42.72	Jan.26		30.92	37.25	46.31
1.03.15	6:00	37.64	46.41	1.Dec		32.17	35.75	23.61
1.03.15	7:00	40.1	Dec.91	Jan.67		39.1	38.21	18.37
1.03.15	8:00	40.75	10.May	Jan.65		16.33	45.35	22.54
1.03.15	9:00	44.78	Dec.42	Jan.42		15.25	40.06	22.74
1.03.15	10:00	17.53	Nov.22	Jan.56		Dec.33	16.79	14.Jun
1.03.15	11:00	Dec.63	Oct.24	Jan.49		Dec.35	17.14	13.78
1.03.15	12:00	Dec.82	Oct.37	Jan.45		Dec.66	19.81	13.59
1.03.15	13:00	15.74	Sep.82	Jan.48		Dec.47	23.15	11.Jan
1.03.15	14:00	16.88	10.Mar	Jan.34		14.64	23.Mar	13.May
1.03.15	15:00	16.98	13.Mar	Jan.74		Dec.42	22.77	14.56
1.03.15	16:00	16.88	12.Sep	Jan.72		14.19	23.73	15.97
1.03.15	17:00	24.May	Nov.71	Jan.52		25.May	31.46	25.35
1.03.15	18:00	36.44	13.21	Jan.44		21.Nov	52.51	29.18
1.03.15	19:00	32.5	Nov.77	Jan.71		27.41	56.76	45.46
1.03.15	20:00	49.8	12.Dec	Jan.58		25.85	56.96	32.55
1.03.15	21:00	45.92	18.75	Jan.24		21.99	55.48	49.73
1.03.15	22:00	43.84	65.27	Jan.54		30.81	57.95	52.2
1.03.15	23:00	55.94	63.89	Jan.47		31.41	59.1	73.84
1.03.15	24:00:00	51.74	57.8	Jan.39		48.84	59.75	72.81
1.04.15	1:00	53.01	43.58	Jan.47		59.58	57.67	69.06
1.04.15	2:00	43.08	36.85	Jan.46		47.42	54.65	62.51
1.04.15	3:00	41.66	34.95	Jan.44		50.72	53.69	64.69
1.04.15	4:00	22.74	44.58	Jan.49		38.87	48.17	31.74
1.04.15	5:00	14.68	32.55	Jan.58		38.18	42.79	40.12
1.04.15	6:00	19.Jan	43.35	Jan.43		43.22	46.86	56.13
1.04.15	7:00	42.12	55.34	Jan.32		44.27	44.05	54.57
1.04.15	8:00	37.09	58.99	Jan.47		55.13	46.05	55.46
1.04.15	9:00	30.Mar	60.77	Jan.49		47.5	48.17	54.96
1.04.15	10:00	39.54	61.6	Jan.26		60.89	48	59.03
1.04.15	11:00	49.63	65.98	Jan.47		77.03	54.6	60.08
1.04.15	12:00	58.65	56.81			56.84	54.1	58.27
1.04.15	13:00	24.72	Dec.88			15.51	21.91	15.48
1.04.15	14:00	18.Nov	9.Feb			15.Sep	20.52	13.81
1.04.15	15:00	13.May	Oct.83			Nov.91	19.19	Oct.62
1.04.15	16:00	Oct.68	Sep.67			12.May	21.19	Oct.71
1.04.15	17:00	Dec.89	Oct.81			13.89	21.Jun	Oct.64
1.04.15	18:00	13.93	Sep.83			Dec.82	23.44	Oct.92
1.04.15	19:00	13.26	Oct.43			15.13	23.32	Nov.65
1.04.15	20:00	13.Jan	11.Feb			16.83	24.54	14.Jun
1.04.15	21:00	13.22	Oct.94			15.13	22.29	Dec.92
1.04.15	22:00	Oct.85	Sep.19			13.91	20.74	Aug.96
1.04.15	23:00	Nov.49	Aug.48			13.24	20.Sep	Dec.15
1.04.15	24:00:00	Sep.24	Aug.31			Oct.92	19.64	Jul.35
1.05.15	1:00	Jun.52	Jul.78			11.May	18.39	Aug.13
1.05.15	2:00	May.14	May.84			8.Sep	16.61	6.Jul
1.05.15	3:00	May.92	Jun.45			Jun.82	15.69	Apr.33
1.05.15	4:00	May.65	Apr.36			Jul.52	14.69	Mar.34
1.05.15	5:00	5.May	Jun.29			Jun.33	14.87	5.Jun
1.05.15	6:00	6.Aug	Aug.25			Jul.39	15.Jul	Oct.67
1.05.15	7:00	Aug.19	8.Mar			Dec.37	16.Aug	Sep.95
1.05.15	8:00	19.Mar	11.Jul			19.81	24.Sep	20.36
1.05.15	9:00	26.31	19.53			31.82	31.04	23.73
1.05.15	10:00	25.89	18.64			22.92	32.78	19.94
1.05.15	11:00	20.96	17.Feb			16.36	26.26	15.74
1.05.15	12:00	18.Feb	14.Jul			16.84	24.21	15.78
1.05.15	13:00	16.Apr	13.Jul			14.23	22.73	13.92
1.05.15	14:00	18.48	Nov.96			13.97	26.27	17.45
1.05.15	15:00	21.Jan	13.Apr			15.Jul	27.76	16.35
1.05.15	16:00	21.Jul	13.98			16.63	28.16	19.29
1.05.15	17:00	28.Jan	18.Mar			23.46	28.Jul	21.Nov
1.05.15	18:00	35.96	25.55			28.72	34.15	24.Jan
1.05.15	19:00	30.May	19.Jun			33.59	30.57	25.45
1.05.15	20:00	31.55	18.29			27.88	30.99	25.69
1.05.15	21:00		15.58			27.84	24.44	19.32
1.05.15	22:00		Dec.86			24.67	21.36	17.27
1.05.15	23:00	Dec.91	Dec.84			16.66	22.33	Dec.26
1.05.15	24:00:00	10.Jun	Oct.73			15.55	20.Apr	11.Jun
1.06.15	1:00	Oct.52	Aug.94			Oct.88	19.32	Nov.29
1.06.15	2:00	Oct.75	Sep.43			Sep.61	17.81	Sep.39
1.06.15	3:00	9.Sep	Jul.98			Sep.74	18.97	Jul.77
1.06.15	4:00	Sep.63	9.Apr			11.Jan	16.98	7.Nov
1.06.15	5:00	Oct.13	11.May			12.Apr	16.33	13.31
1.06.15	6:00	Dec.38	17.52			14.18	15.Aug	21.Mar
1.06.15	7:00	15.21	17.46			20.Apr	15.42	18.Apr
1.06.15	8:00	28.51	23.Aug			34.01	26.79	27.92
1.06.15	9:00	46.6	33.55			37.96	37.81	54.36
1.06.15	10:00	46.5	34.14			27.33	28.55	32.9
1.06.15	11:00		20.Mar			22.69	21.Dec	19
1.06.15	12:00	20.Jan	17.74			13.May	19.Jun	16.45
1.06.15	13:00	17.Sep	Dec.53			12.Feb	19.Feb	Nov.69
1.06.15	14:00	17.62	14.51			Nov.13	20.69	14.39
1.06.15	15:00	19.Mar	15.48			15.Jan	22.36	13.63
1.06.15	16:00	23.89	14.Nov			19.May	26.82	17.94
1.06.15	17:00	34.77	25.84			24.22	29.2	27.Jun
1.06.15	18:00	32.45		Jan.41		25.86	32.01	27.15
1.06.15	19:00	35.27	20.48	Jan.42		25.41	31.36	26.64
1.06.15	20:00	29.94	17.Nov	Jan.42		21.31	27.86	24.May
1.06.15	21:00	20.May	14.Jun	Jan.43		16.57	21.81	16.91
1.06.15	22:00	17.21	13.Dec	Jan.59		15.37	21.Nov	13.53
1.06.15	23:00	13.84	Sep.18	Jan.45		Nov.64	17.95	Oct.42
1.06.15	24:00:00	12.Feb	10.Nov	Jan.43		Oct.64	17.85	Oct.21
1.07.15	1:00	Nov.33	Sep.33	Jan.45		9.Dec	15.59	9.Jul
1.07.15	2:00	Sep.35	Jun.53	Jan.19		11.Aug	14.93	Jul.17
1.07.15	3:00	Jul.92	May.61	Jan.48		10.Nov	14.21	8.Mar
