"Nitrogen dioxide:
Average hourly values: NO2, ug / m3 for the period from 01.01.2015 to 31.12.2019";;;;;;;;
Date;Hour;Sofia - Druzhba;Sofia - EEA Pavlovo;Sofia - Kopitoto;Sofia - Mladost;Sofia - Nadezhda;Sofia-Orlov Most;Sofia - Hipodrome
1.01.15;1:00;30,66;39,73;1,45;;18,75;34,82;18,83
1.01.15;2:00;27,2;53,75;1,75;;15,12;45,55;34,33
1.01.15;3:00;27,49;49,35;1,55;;11,15;45,54;54,43
1.01.15;4:00;29,55;56,91;1,62;;11,5;47,88;52,89
1.01.15;5:00;13,05;48,33;1,48;;20,87;29,3;47,85
1.01.15;6:00;17,54;34,18;1,35;;17,34;33,17;32,34
1.01.15;7:00;28,15;41,14;1,44;;19,97;32,36;26,99
1.01.15;8:00;22,68;44,23;1,42;;17,82;22,44;35,58
1.01.15;9:00;23,15;44,22;1,47;;16,8;18,02;26,62
1.01.15;10:00;12,62;29,78;1,3;;9,19;13,84;13,32
1.01.15;11:00;11,22;11,3;1,46;;8;10,72;8,75
1.01.15;12:00;10,17;8,06;1,49;;8,97;10,76;8,33
1.01.15;13:00;10,05;6,78;1,47;;9,8;10,31;11,67
1.01.15;14:00;8,73;6,76;1,66;;13,72;13,26;7,49
1.01.15;15:00;;7,45;1,48;;14,74;12,14;10,21
1.01.15;16:00;;8,76;1,43;;13,95;14,12;9,8
1.01.15;17:00;16,03;12,74;1,46;;16,59;17,05;12,88
1.01.15;18:00;18,53;20,89;1,59;;19,98;18,86;19,93
1.01.15;19:00;20,59;45,69;1,47;;21,3;18,29;23,86
1.01.15;20:00;17,49;67,66;1,27;;20,11;17,01;24,11
1.01.15;21:00;14,17;59,67;1,5;;18,62;16,52;23,64
1.01.15;22:00;14,12;17,99;1,46;;17,3;16,72;22,52
1.01.15;23:00;10,53;12,38;1,49;;14,6;14,14;17,37
1.01.15;24:00:00;9,19;12,07;1,23;;13,02;13,49;15,38
2.01.15;1:00;7,7;10,95;1,62;;10,81;11,72;12,51
2.01.15;2:00;18,06;9,22;1,46;;10,69;10,42;9,67
2.01.15;3:00;19,05;7,8;1,68;;9,38;9,65;7,08
2.01.15;4:00;20,74;7,3;1,55;;9,08;9,06;5,79
2.01.15;5:00;19,02;6,3;1,2;;10,48;9,4;7,17
2.01.15;6:00;20,29;8,35;1,5;;15,57;10,52;7,9
2.01.15;7:00;29,85;8,7;1,19;;24,92;11,41;10,88
2.01.15;8:00;30,64;14,27;1,48;;38,63;13,02;12,83
2.01.15;9:00;31,69;13,76;1,46;;47,88;16,07;15,35
2.01.15;10:00;30,1;13,65;1,48;;44,33;16,93;16
2.01.15;11:00;31,18;10,54;1,66;;33,76;15,34;14,41
2.01.15;12:00;;11,91;1,44;;25,81;15,83;13,84
2.01.15;13:00;;12,36;1,25;;21,63;17,46;16,77
2.01.15;14:00;14,44;9,48;1,75;;16,77;16,01;14,09
2.01.15;15:00;14,97;9,55;1,28;;17,43;16,86;13,37
2.01.15;16:00;17,45;13,76;1,43;;17,43;19,54;14,99
2.01.15;17:00;21,45;13,71;1,6;;23,11;20,76;15,06
2.01.15;18:00;22,19;21,2;1,33;;22,51;21,82;22,59
2.01.15;19:00;26,46;17,22;1,23;;23,2;23,12;30,8
2.01.15;20:00;22,7;16,46;1,49;;22,42;22,1;19,01
2.01.15;21:00;20,9;13,83;1,59;;29,29;23,3;17,65
2.01.15;22:00;34,16;40,13;1,43;;37,85;34,53;21,25
2.01.15;23:00;33,02;27,95;1,43;;51,65;39,66;28,52
2.01.15;24:00:00;26,52;26,75;1,78;;31,61;36,72;35,64
3.01.15;1:00;23,86;41,38;1,64;;37,21;41,95;40,57
3.01.15;2:00;25,35;44,82;1,41;;41,95;41,49;27,33
3.01.15;3:00;31,19;45,89;1,31;;40,21;40,07;24,28
3.01.15;4:00;38,44;49,1;1,46;;39,8;38,91;39,22
3.01.15;5:00;35,69;42,72;1,26;;30,92;37,25;46,31
3.01.15;6:00;37,64;46,41;1,12;;32,17;35,75;23,61
3.01.15;7:00;40,1;12,91;1,67;;39,1;38,21;18,37
3.01.15;8:00;40,75;10,05;1,65;;16,33;45,35;22,54
3.01.15;9:00;44,78;12,42;1,42;;15,25;40,06;22,74
3.01.15;10:00;17,53;11,22;1,56;;12,33;16,79;14,6
3.01.15;11:00;12,63;10,24;1,49;;12,35;17,14;13,78
3.01.15;12:00;12,82;10,37;1,45;;12,66;19,81;13,59
3.01.15;13:00;15,74;9,82;1,48;;12,47;23,15;11,01
3.01.15;14:00;16,88;10,03;1,34;;14,64;23,3;13,5
3.01.15;15:00;16,98;13,03;1,74;;12,42;22,77;14,56
3.01.15;16:00;16,88;12,09;1,72;;14,19;23,73;15,97
3.01.15;17:00;24,05;11,71;1,52;;25,05;31,46;25,35
3.01.15;18:00;36,44;13,21;1,44;;21,11;52,51;29,18
3.01.15;19:00;32,5;11,77;1,71;;27,41;56,76;45,46
3.01.15;20:00;49,8;12,12;1,58;;25,85;56,96;32,55
3.01.15;21:00;45,92;18,75;1,24;;21,99;55,48;49,73
3.01.15;22:00;43,84;65,27;1,54;;30,81;57,95;52,2
3.01.15;23:00;55,94;63,89;1,47;;31,41;59,1;73,84
3.01.15;24:00:00;51,74;57,8;1,39;;48,84;59,75;72,81
4.01.15;1:00;53,01;43,58;1,47;;59,58;57,67;69,06
4.01.15;2:00;43,08;36,85;1,46;;47,42;54,65;62,51
4.01.15;3:00;41,66;34,95;1,44;;50,72;53,69;64,69
4.01.15;4:00;22,74;44,58;1,49;;38,87;48,17;31,74
4.01.15;5:00;14,68;32,55;1,58;;38,18;42,79;40,12
4.01.15;6:00;19,01;43,35;1,43;;43,22;46,86;56,13
4.01.15;7:00;42,12;55,34;1,32;;44,27;44,05;54,57
4.01.15;8:00;37,09;58,99;1,47;;55,13;46,05;55,46
4.01.15;9:00;30,3;60,77;1,49;;47,5;48,17;54,96
4.01.15;10:00;39,54;61,6;1,26;;60,89;48;59,03
4.01.15;11:00;49,63;65,98;1,47;;77,03;54,6;60,08
4.01.15;12:00;58,65;56,81;;;56,84;54,1;58,27
4.01.15;13:00;24,72;12,88;;;15,51;21,91;15,48
4.01.15;14:00;18,11;9,2;;;15,09;20,52;13,81
4.01.15;15:00;13,05;10,83;;;11,91;19,19;10,62
4.01.15;16:00;10,68;9,67;;;12,5;21,19;10,71
4.01.15;17:00;12,89;10,81;;;13,89;21,06;10,64
4.01.15;18:00;13,93;9,83;;;12,82;23,44;10,92
4.01.15;19:00;13,26;10,43;;;15,13;23,32;11,65
4.01.15;20:00;13,1;11,2;;;16,83;24,54;14,06
4.01.15;21:00;13,22;10,94;;;15,13;22,29;12,92
4.01.15;22:00;10,85;9,19;;;13,91;20,74;8,96
4.01.15;23:00;11,49;8,48;;;13,24;20,9;12,15
4.01.15;24:00:00;9,24;8,31;;;10,92;19,64;7,35
5.01.15;1:00;6,52;7,78;;;11,05;18,39;8,13
5.01.15;2:00;5,14;5,84;;;8,09;16,61;6,07
5.01.15;3:00;5,92;6,45;;;6,82;15,69;4,33
5.01.15;4:00;5,65;4,36;;;7,52;14,69;3,34
5.01.15;5:00;5,05;6,29;;;6,33;14,87;5,6
5.01.15;6:00;6,08;8,25;;;7,39;15,7;10,67
5.01.15;7:00;8,19;8,3;;;12,37;16,8;9,95
5.01.15;8:00;19,3;11,07;;;19,81;24,09;20,36
5.01.15;9:00;26,31;19,53;;;31,82;31,04;23,73
5.01.15;10:00;25,89;18,64;;;22,92;32,78;19,94
5.01.15;11:00;20,96;17,2;;;16,36;26,26;15,74
5.01.15;12:00;18,2;14,7;;;16,84;24,21;15,78
5.01.15;13:00;16,4;13,07;;;14,23;22,73;13,92
5.01.15;14:00;18,48;11,96;;;13,97;26,27;17,45
5.01.15;15:00;21,1;13,4;;;15,7;27,76;16,35
5.01.15;16:00;21,7;13,98;;;16,63;28,16;19,29
5.01.15;17:00;28,01;18,3;;;23,46;28,7;21,11
5.01.15;18:00;35,96;25,55;;;28,72;34,15;24,1
5.01.15;19:00;30,05;19,6;;;33,59;30,57;25,45
